##Databases: BioCyc, Gene Ontology, KEGG DISEASE, OMIM, NHGRI GWAS Catalog, PANTHER, Gene Ontology Slim, Reactome, KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
enzyme activator activity	Gene Ontology	GO:0008047	2	89	0.0637683089971	0.133854980465	GIF|LTF	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0008047
phosphoric ester hydrolase activity	Gene Ontology Slim	GO:0042578	2	89	0.0637683089971	0.133854980465	EGFR|CYCS	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0042578
negative regulation of protein modification process	Gene Ontology Slim	GO:0031400	2	89	0.0637683089971	0.133854980465	AKT1|BAX	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0031400
enzyme activator activity	Gene Ontology Slim	GO:0008047	2	89	0.0637683089971	0.133854980465	GIF|LTF	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0008047
cell-cell junction	Gene Ontology Slim	GO:0005911	2	89	0.0637683089971	0.133854980465	EPCAM|KIT	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005911
nucleotide biosynthetic process	Gene Ontology	GO:0009165	2	90	0.0649975145295	0.134672341262	OAS1|ACSBG1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009165
RNA polymerase II regulatory region DNA binding	Gene Ontology	GO:0001012	2	90	0.0649975145295	0.134672341262	NKX2-1|TCF3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0001012
regulation of plasma membrane bounded cell projection organization	Gene Ontology	GO:0120035	2	90	0.0649975145295	0.134672341262	ARF1|ICAM1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0120035
regulation of animal organ morphogenesis	Gene Ontology	GO:2000027	2	90	0.0649975145295	0.134672341262	TGFB1|POU5F1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:2000027
RNA polymerase II regulatory region DNA binding	Gene Ontology Slim	GO:0001012	2	90	0.0649975145295	0.134672341262	NKX2-1|TCF3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0001012
nucleotide biosynthetic process	Gene Ontology Slim	GO:0009165	2	90	0.0649975145295	0.134672341262	OAS1|ACSBG1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009165
regulation of plasma membrane bounded cell projection organization	Gene Ontology Slim	GO:0120035	2	90	0.0649975145295	0.134672341262	ARF1|ICAM1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0120035
regulation of animal organ morphogenesis	Gene Ontology Slim	GO:2000027	2	90	0.0649975145295	0.134672341262	TGFB1|POU5F1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:2000027
ruffle membrane	Gene Ontology	GO:0032587	1	14	0.0655049911283	0.134672341262	DDX58	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032587
negative regulation of cell cycle G1/S phase transition	Gene Ontology	GO:1902807	1	14	0.0655049911283	0.134672341262	BAX	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:1902807
activation of MAPKK activity	Gene Ontology	GO:0000186	1	14	0.0655049911283	0.134672341262	EGF	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0000186
positive regulation of cation transmembrane transport	Gene Ontology	GO:1904064	1	14	0.0655049911283	0.134672341262	CXCL9	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:1904064
negative regulation of lymphocyte migration	Gene Ontology	GO:2000402	1	14	0.0655049911283	0.134672341262	CCL2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:2000402
activation of GTPase activity	Gene Ontology	GO:0090630	1	14	0.0655049911283	0.134672341262	CCR7	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0090630
release of cytochrome c from mitochondria	Gene Ontology	GO:0001836	1	14	0.0655049911283	0.134672341262	TP53	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0001836
regulation of mesenchymal cell proliferation	Gene Ontology	GO:0010464	1	14	0.0655049911283	0.134672341262	MYC	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010464
cell proliferation involved in heart morphogenesis	Gene Ontology	GO:0061323	1	14	0.0655049911283	0.134672341262	SMAD4	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0061323
transmembrane receptor protein tyrosine kinase activity	Gene Ontology	GO:0004714	1	14	0.0655049911283	0.134672341262	ADAM17	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004714
positive regulation of gene expression, epigenetic	Gene Ontology	GO:0045815	1	14	0.0655049911283	0.134672341262	TBP	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0045815
regulation of positive chemotaxis	Gene Ontology	GO:0050926	1	14	0.0655049911283	0.134672341262	IL8	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0050926
RNA polymerase II, holoenzyme	Gene Ontology	GO:0016591	1	14	0.0655049911283	0.134672341262	TBP	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016591
regulation of nitric-oxide synthase activity	Gene Ontology	GO:0050999	1	14	0.0655049911283	0.134672341262	CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0050999
response to increased oxygen levels	Gene Ontology	GO:0036296	1	14	0.0655049911283	0.134672341262	MT-CYB	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0036296
hair cycle process	Gene Ontology	GO:0022405	1	14	0.0655049911283	0.134672341262	TNF	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0022405
organelle envelope lumen	Gene Ontology	GO:0031970	1	14	0.0655049911283	0.134672341262	CYCS	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0031970
response to interleukin-6	Gene Ontology	GO:0070741	1	14	0.0655049911283	0.134672341262	NFKB1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0070741
ATPase-coupled cation transmembrane transporter activity	Gene Ontology	GO:0019829	1	14	0.0655049911283	0.134672341262	TLR9	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0019829
aminoglycan biosynthetic process	Gene Ontology	GO:0006023	1	14	0.0655049911283	0.134672341262	PTGER4	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006023
contractile actin filament bundle assembly	Gene Ontology	GO:0030038	1	14	0.0655049911283	0.134672341262	PTGER4	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0030038
DNA dealkylation	Gene Ontology	GO:0035510	1	14	0.0655049911283	0.134672341262	AICDA	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0035510
DNA dealkylation	Gene Ontology Slim	GO:0035510	1	14	0.0655049911283	0.134672341262	AICDA	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0035510
aminoglycan biosynthetic process	Gene Ontology Slim	GO:0006023	1	14	0.0655049911283	0.134672341262	PTGER4	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006023
positive regulation of cation transmembrane transport	Gene Ontology Slim	GO:1904064	1	14	0.0655049911283	0.134672341262	CXCL9	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:1904064
negative regulation of lymphocyte migration	Gene Ontology Slim	GO:2000402	1	14	0.0655049911283	0.134672341262	CCL2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:2000402
organelle envelope lumen	Gene Ontology Slim	GO:0031970	1	14	0.0655049911283	0.134672341262	CYCS	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0031970
regulation of positive chemotaxis	Gene Ontology Slim	GO:0050926	1	14	0.0655049911283	0.134672341262	IL8	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0050926
RNA polymerase II, holoenzyme	Gene Ontology Slim	GO:0016591	1	14	0.0655049911283	0.134672341262	TBP	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016591
activation of MAPKK activity	Gene Ontology Slim	GO:0000186	1	14	0.0655049911283	0.134672341262	EGF	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0000186
ruffle membrane	Gene Ontology Slim	GO:0032587	1	14	0.0655049911283	0.134672341262	DDX58	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032587
hair cycle process	Gene Ontology Slim	GO:0022405	1	14	0.0655049911283	0.134672341262	TNF	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0022405
release of cytochrome c from mitochondria	Gene Ontology Slim	GO:0001836	1	14	0.0655049911283	0.134672341262	TP53	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0001836
regulation of nitric-oxide synthase activity	Gene Ontology Slim	GO:0050999	1	14	0.0655049911283	0.134672341262	CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0050999
response to increased oxygen levels	Gene Ontology Slim	GO:0036296	1	14	0.0655049911283	0.134672341262	MT-CYB	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0036296
ATPase-coupled cation transmembrane transporter activity	Gene Ontology Slim	GO:0019829	1	14	0.0655049911283	0.134672341262	TLR9	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0019829
regulation of mesenchymal cell proliferation	Gene Ontology Slim	GO:0010464	1	14	0.0655049911283	0.134672341262	MYC	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010464
activation of GTPase activity	Gene Ontology Slim	GO:0090630	1	14	0.0655049911283	0.134672341262	CCR7	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0090630
transmembrane receptor protein tyrosine kinase activity	Gene Ontology Slim	GO:0004714	1	14	0.0655049911283	0.134672341262	ADAM17	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004714
cell proliferation involved in heart morphogenesis	Gene Ontology Slim	GO:0061323	1	14	0.0655049911283	0.134672341262	SMAD4	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0061323
response to interleukin-6	Gene Ontology Slim	GO:0070741	1	14	0.0655049911283	0.134672341262	NFKB1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0070741
negative regulation of cell cycle G1/S phase transition	Gene Ontology Slim	GO:1902807	1	14	0.0655049911283	0.134672341262	BAX	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:1902807
positive regulation of gene expression, epigenetic	Gene Ontology Slim	GO:0045815	1	14	0.0655049911283	0.134672341262	TBP	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0045815
contractile actin filament bundle assembly	Gene Ontology Slim	GO:0030038	1	14	0.0655049911283	0.134672341262	PTGER4	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0030038
response to external biotic stimulus	Gene Ontology	GO:0043207	12	1614	0.0661861255984	0.135936207262	PTGS2|NOS2|IRF7|ADH5|CCL3|IL10|CD80|HSP90B1|CD86|GLI2|REN|MAPK14	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043207
response to external biotic stimulus	Gene Ontology Slim	GO:0043207	12	1614	0.0661861255984	0.135936207262	PTGS2|NOS2|IRF7|ADH5|CCL3|IL10|CD80|HSP90B1|CD86|GLI2|REN|MAPK14	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043207
negative regulation of phosphate metabolic process	Gene Ontology	GO:0045936	3	203	0.0668346111539	0.137088218312	TGFB1|CDA|TLR4	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0045936
negative regulation of phosphate metabolic process	Gene Ontology Slim	GO:0045936	3	203	0.0668346111539	0.137088218312	TGFB1|CDA|TLR4	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0045936
T-helper cell differentiation	Gene Ontology	GO:0042093	3	206	0.0691471587097	0.140363175301	CD80|MYB|CD86	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0042093
hydrolase activity, acting on acid anhydrides	Gene Ontology	GO:0016817	3	206	0.0691471587097	0.140363175301	RHOJ|IL5|CD40	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016817
hydrolase activity, acting on acid anhydrides	Gene Ontology Slim	GO:0016817	3	206	0.0691471587097	0.140363175301	RHOJ|IL5|CD40	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016817
T-helper cell differentiation	Gene Ontology Slim	GO:0042093	3	206	0.0691471587097	0.140363175301	CD80|MYB|CD86	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0042093
cellular metal ion homeostasis	Gene Ontology	GO:0006875	7	786	0.0692426488664	0.140363175301	CCL2|SOD1|HSP90B1|IL2|ABCB6|HEPH|CCR5	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006875
cellular metal ion homeostasis	Gene Ontology Slim	GO:0006875	7	786	0.0692426488664	0.140363175301	CCL2|SOD1|HSP90B1|IL2|ABCB6|HEPH|CCR5	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006875
ribonucleoprotein complex binding	Gene Ontology	GO:0043021	1	15	0.0697168089243	0.140363175301	NPM1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043021
erythrocyte homeostasis	Gene Ontology	GO:0034101	1	15	0.0697168089243	0.140363175301	MAPK14	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0034101
regulation of macrophage chemotaxis	Gene Ontology	GO:0010758	1	15	0.0697168089243	0.140363175301	CCL5	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010758
positive regulation of ossification	Gene Ontology	GO:0045778	1	15	0.0697168089243	0.140363175301	SMAD3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0045778
receptor-mediated endocytosis of virus by host cell	Gene Ontology	GO:0019065	1	15	0.0697168089243	0.140363175301	CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0019065
lateral plasma membrane	Gene Ontology	GO:0016328	1	15	0.0697168089243	0.140363175301	EPCAM	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016328
lung epithelium development	Gene Ontology	GO:0060428	1	15	0.0697168089243	0.140363175301	IL13	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0060428
axis specification	Gene Ontology	GO:0009798	1	15	0.0697168089243	0.140363175301	SMAD4	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009798
lamellipodium organization	Gene Ontology	GO:0097581	1	15	0.0697168089243	0.140363175301	GOLPH3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0097581
regulation of morphogenesis of a branching structure	Gene Ontology	GO:0060688	1	15	0.0697168089243	0.140363175301	TGFB1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0060688
aminoglycan catabolic process	Gene Ontology	GO:0006026	1	15	0.0697168089243	0.140363175301	TGFB1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006026
dioxygenase activity	Gene Ontology	GO:0051213	1	15	0.0697168089243	0.140363175301	PTGS2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051213
structural constituent of cytoskeleton	Gene Ontology	GO:0005200	1	15	0.0697168089243	0.140363175301	VIM	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005200
ribonucleoside bisphosphate biosynthetic process	Gene Ontology	GO:0034030	1	15	0.0697168089243	0.140363175301	ACSBG1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0034030
regulation of monooxygenase activity	Gene Ontology	GO:0032768	1	15	0.0697168089243	0.140363175301	FCER2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032768
kinase inhibitor activity	Gene Ontology	GO:0019210	1	15	0.0697168089243	0.140363175301	NPM1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0019210
epiboly involved in wound healing	Gene Ontology	GO:0090505	1	15	0.0697168089243	0.140363175301	RHOA	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0090505
multi-organism transport	Gene Ontology	GO:0044766	1	15	0.0697168089243	0.140363175301	CD209	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0044766
copper ion transport	Gene Ontology	GO:0006825	1	15	0.0697168089243	0.140363175301	HEPH	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006825
negative regulation of extrinsic apoptotic signaling pathway	Gene Ontology	GO:2001237	1	15	0.0697168089243	0.140363175301	AKT1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:2001237
dioxygenase activity	Gene Ontology Slim	GO:0051213	1	15	0.0697168089243	0.140363175301	PTGS2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051213
epiboly involved in wound healing	Gene Ontology Slim	GO:0090505	1	15	0.0697168089243	0.140363175301	RHOA	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0090505
ribonucleoprotein complex binding	Gene Ontology Slim	GO:0043021	1	15	0.0697168089243	0.140363175301	NPM1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043021
regulation of monooxygenase activity	Gene Ontology Slim	GO:0032768	1	15	0.0697168089243	0.140363175301	FCER2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032768
multi-organism transport	Gene Ontology Slim	GO:0044766	1	15	0.0697168089243	0.140363175301	CD209	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0044766
kinase inhibitor activity	Gene Ontology Slim	GO:0019210	1	15	0.0697168089243	0.140363175301	NPM1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0019210
lung epithelium development	Gene Ontology Slim	GO:0060428	1	15	0.0697168089243	0.140363175301	IL13	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0060428
lateral plasma membrane	Gene Ontology Slim	GO:0016328	1	15	0.0697168089243	0.140363175301	EPCAM	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016328
aminoglycan catabolic process	Gene Ontology Slim	GO:0006026	1	15	0.0697168089243	0.140363175301	TGFB1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006026
regulation of macrophage chemotaxis	Gene Ontology Slim	GO:0010758	1	15	0.0697168089243	0.140363175301	CCL5	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010758
copper ion transport	Gene Ontology Slim	GO:0006825	1	15	0.0697168089243	0.140363175301	HEPH	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006825
structural constituent of cytoskeleton	Gene Ontology Slim	GO:0005200	1	15	0.0697168089243	0.140363175301	VIM	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005200
negative regulation of extrinsic apoptotic signaling pathway	Gene Ontology Slim	GO:2001237	1	15	0.0697168089243	0.140363175301	AKT1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:2001237
regulation of morphogenesis of a branching structure	Gene Ontology Slim	GO:0060688	1	15	0.0697168089243	0.140363175301	TGFB1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0060688
positive regulation of ossification	Gene Ontology Slim	GO:0045778	1	15	0.0697168089243	0.140363175301	SMAD3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0045778
axis specification	Gene Ontology Slim	GO:0009798	1	15	0.0697168089243	0.140363175301	SMAD4	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009798
erythrocyte homeostasis	Gene Ontology Slim	GO:0034101	1	15	0.0697168089243	0.140363175301	MAPK14	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0034101
ribonucleoside bisphosphate biosynthetic process	Gene Ontology Slim	GO:0034030	1	15	0.0697168089243	0.140363175301	ACSBG1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0034030
lamellipodium organization	Gene Ontology Slim	GO:0097581	1	15	0.0697168089243	0.140363175301	GOLPH3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0097581
receptor-mediated endocytosis of virus by host cell	Gene Ontology Slim	GO:0019065	1	15	0.0697168089243	0.140363175301	CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0019065
regulation of cellular component size	Gene Ontology	GO:0032535	3	207	0.0699260084038	0.140639578598	GIF|CCL26|CCR7	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032535
regulation of cellular component size	Gene Ontology Slim	GO:0032535	3	207	0.0699260084038	0.140639578598	GIF|CCL26|CCR7	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032535
cofactor biosynthetic process	Gene Ontology	GO:0051188	2	94	0.0699928126828	0.140639578598	UROD|LIAS	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051188
structural molecule activity	Gene Ontology	GO:0005198	2	94	0.0699928126828	0.140639578598	VIM|SLC25A4	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005198
structural molecule activity	Gene Ontology Slim	GO:0005198	2	94	0.0699928126828	0.140639578598	VIM|SLC25A4	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005198
cofactor biosynthetic process	Gene Ontology Slim	GO:0051188	2	94	0.0699928126828	0.140639578598	UROD|LIAS	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051188
extrinsic apoptotic signaling pathway	Gene Ontology	GO:0097191	3	209	0.0714956155131	0.143577923966	IL4|DAPK3|ICAM1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0097191
extrinsic apoptotic signaling pathway	Gene Ontology Slim	GO:0097191	3	209	0.0714956155131	0.143577923966	IL4|DAPK3|ICAM1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0097191
transporter activity	Gene Ontology	GO:0005215	3	210	0.0722863415579	0.145083757363	MLC1|RFC1|CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005215
transporter activity	Gene Ontology Slim	GO:0005215	3	210	0.0722863415579	0.145083757363	MLC1|RFC1|CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005215
protein-containing complex	Gene Ontology	GO:0032991	6	639	0.0731850315641	0.146110659683	SMN2|TP53|FAS|HSP90B1|IKBKAP|TLR4	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032991
protein-containing complex	Gene Ontology Slim	GO:0032991	6	639	0.0731850315641	0.146110659683	SMN2|TP53|FAS|HSP90B1|IKBKAP|TLR4	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032991
regulation of tube size	Gene Ontology	GO:0035150	4	344	0.0734441204558	0.146110659683	PTGS2|CAV1|ICAM1|PTGER3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0035150
regulation of tube size	Gene Ontology Slim	GO:0035150	4	344	0.0734441204558	0.146110659683	PTGS2|CAV1|ICAM1|PTGER3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0035150
regulation of carbohydrate metabolic process	Gene Ontology	GO:0006109	2	97	0.0738190402404	0.146110659683	PTGER4|IL6	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006109
positive regulation of catabolic process	Gene Ontology	GO:0009896	2	97	0.0738190402404	0.146110659683	EGF|TBK1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009896
regulation of carbohydrate metabolic process	Gene Ontology Slim	GO:0006109	2	97	0.0738190402404	0.146110659683	PTGER4|IL6	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006109
positive regulation of catabolic process	Gene Ontology Slim	GO:0009896	2	97	0.0738190402404	0.146110659683	EGF|TBK1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009896
ciliary plasm	Gene Ontology	GO:0097014	1	16	0.0739097179461	0.146110659683	ARFGEF2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0097014
regulation of DNA-templated transcription in response to stress	Gene Ontology	GO:0043620	1	16	0.0739097179461	0.146110659683	RPS6KA3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043620
skin epidermis development	Gene Ontology	GO:0098773	1	16	0.0739097179461	0.146110659683	SMAD4	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0098773
plasma membrane raft	Gene Ontology	GO:0044853	1	16	0.0739097179461	0.146110659683	MAPK3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0044853
single-stranded RNA binding	Gene Ontology	GO:0003727	1	16	0.0739097179461	0.146110659683	PTBP1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003727
cell-substrate adherens junction assembly	Gene Ontology	GO:0007045	1	16	0.0739097179461	0.146110659683	DAPK3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0007045
DNA polymerase activity	Gene Ontology	GO:0034061	1	16	0.0739097179461	0.146110659683	TP53	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0034061
chaperone-mediated protein folding	Gene Ontology	GO:0061077	1	16	0.0739097179461	0.146110659683	HSPA8	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0061077
Golgi vesicle budding	Gene Ontology	GO:0048194	1	16	0.0739097179461	0.146110659683	GOLPH3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0048194
molting cycle	Gene Ontology	GO:0042303	1	16	0.0739097179461	0.146110659683	HPSE	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0042303
cellular response to corticosteroid stimulus	Gene Ontology	GO:0071384	1	16	0.0739097179461	0.146110659683	IFNB1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0071384
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	Gene Ontology	GO:0016709	1	16	0.0739097179461	0.146110659683	CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016709
Z disc	Gene Ontology	GO:0030018	1	16	0.0739097179461	0.146110659683	SMN2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0030018
negative regulation of mitochondrion organization	Gene Ontology	GO:0010823	1	16	0.0739097179461	0.146110659683	BCL2L1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010823
positive regulation of plasma membrane bounded cell projection assembly	Gene Ontology	GO:0120034	1	16	0.0739097179461	0.146110659683	PALM	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0120034
negative regulation of transforming growth factor beta receptor signaling pathway	Gene Ontology	GO:0030512	1	16	0.0739097179461	0.146110659683	CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0030512
molting cycle	Gene Ontology Slim	GO:0042303	1	16	0.0739097179461	0.146110659683	HPSE	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0042303
negative regulation of transforming growth factor beta receptor signaling pathway	Gene Ontology Slim	GO:0030512	1	16	0.0739097179461	0.146110659683	CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0030512
positive regulation of plasma membrane bounded cell projection assembly	Gene Ontology Slim	GO:0120034	1	16	0.0739097179461	0.146110659683	PALM	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0120034
cell-substrate adherens junction assembly	Gene Ontology Slim	GO:0007045	1	16	0.0739097179461	0.146110659683	DAPK3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0007045
regulation of DNA-templated transcription in response to stress	Gene Ontology Slim	GO:0043620	1	16	0.0739097179461	0.146110659683	RPS6KA3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043620
