




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (278)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of interleukin-8 production (GO:0032757)	55	9	.73	+	12.36	1.43E-07	4.06E-06
positive regulation of protein kinase B signaling (GO:0051897)	170	14	2.25	+	6.22	1.48E-07	4.19E-06
regulation of DNA metabolic process (GO:0051052)	361	20	4.78	+	4.18	1.61E-07	4.55E-06
neutrophil chemotaxis (GO:0030593)	75	10	.99	+	10.07	1.63E-07	4.59E-06
negative regulation of apoptotic signaling pathway (GO:2001234)	230	16	3.05	+	5.25	1.67E-07	4.69E-06
negative regulation of reactive oxygen species metabolic process (GO:2000378)	57	9	.75	+	11.93	1.88E-07	5.28E-06
regulation of lymphocyte chemotaxis (GO:1901623)	26	7	.34	+	20.33	1.93E-07	5.39E-06
negative regulation of gene expression (GO:0010629)	1770	51	23.44	+	2.18	2.00E-07	5.60E-06
organic cyclic compound biosynthetic process (GO:1901362)	1325	42	17.54	+	2.39	2.14E-07	5.96E-06
positive regulation of nitric-oxide synthase biosynthetic process (GO:0051770)	15	6	.20	+	30.21	2.17E-07	6.04E-06
cytokine biosynthetic process (GO:0042089)	15	6	.20	+	30.21	2.17E-07	6.03E-06
myeloid leukocyte differentiation (GO:0002573)	124	12	1.64	+	7.31	2.35E-07	6.53E-06
regulation of vasoconstriction (GO:0019229)	59	9	.78	+	11.52	2.45E-07	6.79E-06
positive regulation of cytokine production involved in immune response (GO:0002720)	59	9	.78	+	11.52	2.45E-07	6.78E-06
defense response to bacterium (GO:0042742)	336	19	4.45	+	4.27	2.47E-07	6.80E-06
humoral immune response (GO:0006959)	372	20	4.93	+	4.06	2.55E-07	7.01E-06
positive regulation of apoptotic signaling pathway (GO:2001235)	179	14	2.37	+	5.91	2.67E-07	7.34E-06
second-messenger-mediated signaling (GO:0019932)	338	19	4.48	+	4.25	2.69E-07	7.38E-06
negative regulation of cell-cell adhesion (GO:0022408)	180	14	2.38	+	5.87	2.84E-07	7.80E-06
aromatic compound biosynthetic process (GO:0019438)	1182	39	15.65	+	2.49	2.87E-07	7.86E-06
blood vessel morphogenesis (GO:0048514)	412	21	5.46	+	3.85	2.93E-07	8.01E-06
cytokine metabolic process (GO:0042107)	16	6	.21	+	28.32	2.95E-07	8.05E-06
programmed necrotic cell death (GO:0097300)	28	7	.37	+	18.88	2.97E-07	8.08E-06
response to metal ion (GO:0010038)	376	20	4.98	+	4.02	2.99E-07	8.13E-06
negative regulation of leukocyte differentiation (GO:1902106)	103	11	1.36	+	8.07	3.05E-07	8.27E-06
regulation of endothelial cell proliferation (GO:0001936)	128	12	1.69	+	7.08	3.23E-07	8.75E-06
positive regulation of calcium ion transport (GO:0051928)	128	12	1.69	+	7.08	3.23E-07	8.73E-06
granulocyte chemotaxis (GO:0071621)	82	10	1.09	+	9.21	3.47E-07	9.36E-06
positive regulation of protein localization to nucleus (GO:1900182)	82	10	1.09	+	9.21	3.47E-07	9.35E-06
positive regulation of immunoglobulin production (GO:0002639)	44	8	.58	+	13.73	3.52E-07	9.46E-06
response to growth factor (GO:0070848)	533	24	7.06	+	3.40	3.56E-07	9.57E-06
regulation of alpha-beta T cell differentiation (GO:0046637)	62	9	.82	+	10.96	3.58E-07	9.60E-06
regulation of interleukin-17 production (GO:0032660)	29	7	.38	+	18.23	3.64E-07	9.75E-06
cellular response to virus (GO:0098586)	29	7	.38	+	18.23	3.64E-07	9.73E-06
regulation of fibroblast proliferation (GO:0048145)	83	10	1.10	+	9.10	3.84E-07	1.03E-05
necrotic cell death (GO:0070265)	30	7	.40	+	17.62	4.44E-07	1.18E-05
T cell migration (GO:0072678)	30	7	.40	+	17.62	4.44E-07	1.18E-05
response to cadmium ion (GO:0046686)	64	9	.85	+	10.62	4.56E-07	1.21E-05
regulation of hormone levels (GO:0010817)	541	24	7.16	+	3.35	4.60E-07	1.22E-05
aging (GO:0007568)	282	17	3.73	+	4.55	4.64E-07	1.23E-05
regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043370)	46	8	.61	+	13.13	4.75E-07	1.26E-05
positive regulation of alpha-beta T cell differentiation (GO:0046638)	46	8	.61	+	13.13	4.75E-07	1.25E-05
response to antibiotic (GO:0046677)	317	18	4.20	+	4.29	4.86E-07	1.28E-05
regulation of cellular amide metabolic process (GO:0034248)	426	21	5.64	+	3.72	4.93E-07	1.30E-05
nucleobase-containing compound biosynthetic process (GO:0034654)	1103	37	14.60	+	2.53	5.21E-07	1.37E-05
regulation of immunoglobulin secretion (GO:0051023)	18	6	.24	+	25.18	5.21E-07	1.36E-05
positive regulation of cellular amide metabolic process (GO:0034250)	162	13	2.14	+	6.06	5.47E-07	1.43E-05
glial cell development (GO:0021782)	110	11	1.46	+	7.55	5.58E-07	1.46E-05
positive regulation of JNK cascade (GO:0046330)	136	12	1.80	+	6.66	5.89E-07	1.54E-05
regulation of ossification (GO:0030278)	193	14	2.56	+	5.48	6.25E-07	1.63E-05
negative regulation of proteolysis (GO:0045861)	359	19	4.75	+	4.00	6.41E-07	1.66E-05
regulation of protein import (GO:1904589)	67	9	.89	+	10.15	6.47E-07	1.68E-05
regulation of neuroinflammatory response (GO:0150077)	32	7	.42	+	16.52	6.49E-07	1.68E-05
regulation of nitric-oxide synthase biosynthetic process (GO:0051769)	19	6	.25	+	23.85	6.78E-07	1.75E-05
negative regulation of leukocyte apoptotic process (GO:2000107)	49	8	.65	+	12.33	7.30E-07	1.88E-05
regulation of growth (GO:0040008)	683	27	9.04	+	2.99	7.53E-07	1.94E-05
cell development (GO:0048468)	1627	47	21.54	+	2.18	7.71E-07	1.98E-05
regulation of interleukin-6 production (GO:0032675)	140	12	1.85	+	6.47	7.85E-07	2.02E-05
positive regulation of hydrolase activity (GO:0051345)	773	29	10.23	+	2.83	8.00E-07	2.05E-05
positive regulation of B cell activation (GO:0050871)	169	13	2.24	+	5.81	8.54E-07	2.19E-05
cellular nitrogen compound metabolic process (GO:0034641)	3464	79	45.87	+	1.72	8.65E-07	2.21E-05
positive regulation of superoxide anion generation (GO:0032930)	20	6	.26	+	22.66	8.72E-07	2.22E-05
myeloid cell differentiation (GO:0030099)	230	15	3.05	+	4.93	8.81E-07	2.24E-05
positive regulation of DNA metabolic process (GO:0051054)	199	14	2.63	+	5.31	8.82E-07	2.24E-05
regulation of nucleocytoplasmic transport (GO:0046822)	117	11	1.55	+	7.10	9.81E-07	2.49E-05
regulation of alpha-beta T cell activation (GO:0046634)	93	10	1.23	+	8.12	1.00E-06	2.54E-05
positive regulation of fibroblast proliferation (GO:0048146)	52	8	.69	+	11.62	1.09E-06	2.77E-05
maintenance of location (GO:0051235)	173	13	2.29	+	5.68	1.09E-06	2.76E-05
negative regulation of response to external stimulus (GO:0032102)	373	19	4.94	+	3.85	1.10E-06	2.79E-05
regulation of binding (GO:0051098)	374	19	4.95	+	3.84	1.15E-06	2.89E-05
response to glucocorticoid (GO:0051384)	146	12	1.93	+	6.21	1.19E-06	2.98E-05
acute inflammatory response (GO:0002526)	73	9	.97	+	9.31	1.24E-06	3.12E-05
regulation of wound healing (GO:0061041)	147	12	1.95	+	6.17	1.27E-06	3.18E-05
regulation of superoxide metabolic process (GO:0090322)	36	7	.48	+	14.69	1.30E-06	3.26E-05
regulation of cell junction assembly (GO:1901888)	96	10	1.27	+	7.87	1.31E-06	3.26E-05
regulation of response to wounding (GO:1903034)	178	13	2.36	+	5.52	1.47E-06	3.67E-05
positive regulation of cellular component biogenesis (GO:0044089)	539	23	7.14	+	3.22	1.52E-06	3.79E-05
anatomical structure morphogenesis (GO:0009653)	2184	56	28.92	+	1.94	1.68E-06	4.19E-05
positive regulation of neuron death (GO:1901216)	99	10	1.31	+	7.63	1.69E-06	4.19E-05
regulation of superoxide anion generation (GO:0032928)	23	6	.30	+	19.70	1.74E-06	4.32E-05
cellular response to growth factor stimulus (GO:0071363)	503	22	6.66	+	3.30	1.76E-06	4.36E-05
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	125	11	1.66	+	6.65	1.79E-06	4.43E-05
regulation of systemic arterial blood pressure by hormone (GO:0001990)	38	7	.50	+	13.91	1.79E-06	4.42E-05
positive regulation of lymphocyte migration (GO:2000403)	38	7	.50	+	13.91	1.79E-06	4.41E-05
cellular response to cadmium ion (GO:0071276)	38	7	.50	+	13.91	1.79E-06	4.41E-05
regulation of organelle organization (GO:0033043)	1335	40	17.68	+	2.26	1.80E-06	4.43E-05
positive regulation of blood vessel endothelial cell migration (GO:0043536)	56	8	.74	+	10.79	1.81E-06	4.43E-05
regulation of lymphocyte apoptotic process (GO:0070228)	56	8	.74	+	10.79	1.81E-06	4.42E-05
regulation of B cell activation (GO:0050864)	213	14	2.82	+	4.96	1.88E-06	4.59E-05
negative regulation of mitotic cell cycle (GO:0045930)	315	17	4.17	+	4.08	1.96E-06	4.79E-05
regulation of interferon-gamma production (GO:0032649)	101	10	1.34	+	7.48	2.00E-06	4.86E-05
regulation of monooxygenase activity (GO:0032768)	57	8	.75	+	10.60	2.04E-06	4.96E-05
positive regulation of response to cytokine stimulus (GO:0060760)	57	8	.75	+	10.60	2.04E-06	4.95E-05
positive regulation of myeloid leukocyte differentiation (GO:0002763)	58	8	.77	+	10.42	2.29E-06	5.56E-05
positive regulation of intracellular transport (GO:0032388)	217	14	2.87	+	4.87	2.31E-06	5.59E-05
regulation of neuron apoptotic process (GO:0043523)	217	14	2.87	+	4.87	2.31E-06	5.58E-05
biosynthetic process (GO:0009058)	2953	69	39.10	+	1.76	2.31E-06	5.58E-05
regulation of calcium ion transport into cytosol (GO:0010522)	103	10	1.36	+	7.33	2.35E-06	5.67E-05
regulation of protein localization to nucleus (GO:1900180)	129	11	1.71	+	6.44	2.38E-06	5.73E-05
angiogenesis (GO:0001525)	320	17	4.24	+	4.01	2.40E-06	5.77E-05
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	157	12	2.08	+	5.77	2.41E-06	5.79E-05
positive regulation of NIK/NF-kappaB signaling (GO:1901224)	80	9	1.06	+	8.50	2.49E-06	5.97E-05
response to purine-containing compound (GO:0014074)	158	12	2.09	+	5.74	2.56E-06	6.14E-05
regulation of neurotransmitter levels (GO:0001505)	359	18	4.75	+	3.79	2.63E-06	6.28E-05
regulation of mitotic cell cycle (GO:0007346)	688	26	9.11	+	2.85	2.70E-06	6.45E-05
positive regulation of type I interferon-mediated signaling pathway (GO:0060340)	13	5	.17	+	29.05	2.74E-06	6.53E-05
positive regulation of granulocyte macrophage colony-stimulating factor production (GO:0032725)	13	5	.17	+	29.05	2.74E-06	6.52E-05
acute-phase response (GO:0006953)	41	7	.54	+	12.89	2.81E-06	6.68E-05
regulation of CD4-positive, alpha-beta T cell activation (GO:2000514)	60	8	.79	+	10.07	2.88E-06	6.84E-05
cellular response to reactive oxygen species (GO:0034614)	132	11	1.75	+	6.29	2.93E-06	6.94E-05
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	106	10	1.40	+	7.13	2.98E-06	7.05E-05
generation of neurons (GO:0048699)	1565	44	20.72	+	2.12	3.04E-06	7.17E-05
multi-organism cellular process (GO:0044764)	26	6	.34	+	17.43	3.21E-06	7.58E-05
positive regulation of lymphocyte mediated immunity (GO:0002708)	107	10	1.42	+	7.06	3.22E-06	7.59E-05
positive regulation of alpha-beta T cell activation (GO:0046635)	61	8	.81	+	9.90	3.23E-06	7.59E-05
regulation of cytokine production involved in inflammatory response (GO:1900015)	42	7	.56	+	12.59	3.24E-06	7.61E-05
neuroinflammatory response (GO:0150076)	42	7	.56	+	12.59	3.24E-06	7.60E-05
response to corticosteroid (GO:0031960)	162	12	2.14	+	5.59	3.26E-06	7.64E-05
blood coagulation (GO:0007596)	292	16	3.87	+	4.14	3.28E-06	7.66E-05
neurogenesis (GO:0022008)	1667	46	22.07	+	2.08	3.35E-06	7.82E-05
cellular response to nutrient levels (GO:0031669)	258	15	3.42	+	4.39	3.37E-06	7.87E-05
regulation of protein localization to membrane (GO:1905475)	193	13	2.56	+	5.09	3.41E-06	7.94E-05
caveolin-mediated endocytosis (GO:0072584)	5	4	.07	+	60.42	3.41E-06	7.94E-05
response to steroid hormone (GO:0048545)	329	17	4.36	+	3.90	3.42E-06	7.93E-05
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	163	12	2.16	+	5.56	3.46E-06	8.03E-05
coagulation (GO:0050817)	294	16	3.89	+	4.11	3.56E-06	8.24E-05
positive regulation of translation (GO:0045727)	135	11	1.79	+	6.15	3.59E-06	8.29E-05
positive regulation of stress-activated MAPK cascade (GO:0032874)	164	12	2.17	+	5.53	3.68E-06	8.48E-05
positive regulation of interleukin-2 biosynthetic process (GO:0045086)	14	5	.19	+	26.97	3.68E-06	8.48E-05
positive regulation of neuroinflammatory response (GO:0150078)	14	5	.19	+	26.97	3.68E-06	8.46E-05
positive regulation of protein import into nucleus (GO:0042307)	43	7	.57	+	12.29	3.73E-06	8.57E-05
regulation of sequestering of calcium ion (GO:0051282)	136	11	1.80	+	6.11	3.83E-06	8.79E-05
regulation of protein import into nucleus (GO:0042306)	63	8	.83	+	9.59	4.01E-06	9.19E-05
hemostasis (GO:0007599)	297	16	3.93	+	4.07	4.03E-06	9.21E-05
response to heat (GO:0009408)	110	10	1.46	+	6.87	4.05E-06	9.26E-05
positive regulation of stress-activated protein kinase signaling cascade (GO:0070304)	166	12	2.20	+	5.46	4.13E-06	9.42E-05
organic substance biosynthetic process (GO:1901576)	2877	67	38.09	+	1.76	4.19E-06	9.54E-05
lymphocyte mediated immunity (GO:0002449)	263	15	3.48	+	4.31	4.21E-06	9.58E-05
positive regulation of peptidase activity (GO:0010952)	197	13	2.61	+	4.98	4.21E-06	9.57E-05
regulation of translation (GO:0006417)	372	18	4.93	+	3.65	4.22E-06	9.56E-05
regulation of T cell migration (GO:2000404)	44	7	.58	+	12.02	4.27E-06	9.68E-05
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	198	13	2.62	+	4.96	4.44E-06	1.00E-04
T cell activation involved in immune response (GO:0002286)	64	8	.85	+	9.44	4.46E-06	1.01E-04
regulation of lipid metabolic process (GO:0019216)	413	19	5.47	+	3.47	4.57E-06	1.03E-04
response to ethanol (GO:0045471)	139	11	1.84	+	5.98	4.66E-06	1.05E-04
positive regulation of vascular endothelial growth factor production (GO:0010575)	28	6	.37	+	16.18	4.67E-06	1.05E-04
regulation of lipid transport (GO:0032368)	112	10	1.48	+	6.74	4.70E-06	1.06E-04
regulation of chemokine (C-X-C motif) ligand 2 production (GO:2000341)	15	5	.20	+	25.18	4.85E-06	1.09E-04
regulation of granulocyte macrophage colony-stimulating factor production (GO:0032645)	15	5	.20	+	25.18	4.85E-06	1.09E-04
negative regulation of type I interferon production (GO:0032480)	45	7	.60	+	11.75	4.88E-06	1.09E-04
negative regulation of transport (GO:0051051)	496	21	6.57	+	3.20	4.94E-06	1.10E-04
response to organophosphorus (GO:0046683)	141	11	1.87	+	5.89	5.29E-06	1.18E-04
negative regulation of T cell activation (GO:0050868)	114	10	1.51	+	6.63	5.44E-06	1.21E-04
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1488	42	19.70	+	2.13	5.50E-06	1.22E-04
positive regulation of protein import (GO:1904591)	46	7	.61	+	11.49	5.56E-06	1.24E-04
gland development (GO:0048732)	419	19	5.55	+	3.42	5.57E-06	1.23E-04
cellular response to lipoprotein particle stimulus (GO:0071402)	29	6	.38	+	15.63	5.57E-06	1.23E-04
positive regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043372)	29	6	.38	+	15.63	5.57E-06	1.23E-04
regulation of muscle system process (GO:0090257)	236	14	3.12	+	4.48	5.77E-06	1.27E-04
negative regulation of hemopoiesis (GO:1903707)	143	11	1.89	+	5.81	6.00E-06	1.32E-04
nervous system development (GO:0007399)	2374	58	31.43	+	1.85	6.07E-06	1.34E-04
positive regulation of glial cell proliferation (GO:0060252)	16	5	.21	+	23.60	6.30E-06	1.39E-04
regulation of MHC class II biosynthetic process (GO:0045346)	16	5	.21	+	23.60	6.30E-06	1.38E-04
regulation of chemokine biosynthetic process (GO:0045073)	16	5	.21	+	23.60	6.30E-06	1.38E-04
negative regulation of myeloid cell apoptotic process (GO:0033033)	16	5	.21	+	23.60	6.30E-06	1.38E-04
cellular response to oxidative stress (GO:0034599)	238	14	3.15	+	4.44	6.32E-06	1.38E-04
regulation of cell growth (GO:0001558)	423	19	5.60	+	3.39	6.34E-06	1.38E-04
positive regulation of epithelial cell migration (GO:0010634)	144	11	1.91	+	5.77	6.39E-06	1.39E-04
peptidyl-serine phosphorylation (GO:0018105)	174	12	2.30	+	5.21	6.49E-06	1.41E-04
positive regulation of acute inflammatory response (GO:0002675)	30	6	.40	+	15.11	6.61E-06	1.44E-04
regulation of myeloid cell apoptotic process (GO:0033032)	30	6	.40	+	15.11	6.61E-06	1.44E-04
negative regulation of catalytic activity (GO:0043086)	818	28	10.83	+	2.59	6.76E-06	1.47E-04
enzyme linked receptor protein signaling pathway (GO:0007167)	726	26	9.61	+	2.70	6.83E-06	1.48E-04
regulation of blood vessel endothelial cell migration (GO:0043535)	92	9	1.22	+	7.39	7.14E-06	1.54E-04
regulation of systemic arterial blood pressure mediated by a chemical signal (GO:0003044)	48	7	.64	+	11.01	7.16E-06	1.55E-04
regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239)	48	7	.64	+	11.01	7.16E-06	1.55E-04
regulation of cell cycle G1/S phase transition (GO:1902806)	176	12	2.33	+	5.15	7.24E-06	1.56E-04
regulation of toll-like receptor signaling pathway (GO:0034121)	69	8	.91	+	8.76	7.42E-06	1.60E-04
ERBB signaling pathway (GO:0038127)	69	8	.91	+	8.76	7.42E-06	1.59E-04
positive regulation of organelle organization (GO:0010638)	640	24	8.47	+	2.83	7.52E-06	1.61E-04
fatty acid metabolic process (GO:0006631)	314	16	4.16	+	3.85	7.86E-06	1.68E-04
positive regulation of interleukin-17 production (GO:0032740)	17	5	.23	+	22.21	8.07E-06	1.73E-04
regulation of endothelial cell apoptotic process (GO:2000351)	49	7	.65	+	10.79	8.10E-06	1.73E-04
positive regulation of cell cycle (GO:0045787)	391	18	5.18	+	3.48	8.10E-06	1.73E-04
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	70	8	.93	+	8.63	8.17E-06	1.74E-04
regulation of interleukin-23 production (GO:0032667)	7	4	.09	+	43.16	8.76E-06	1.86E-04
positive regulation of fever generation (GO:0031622)	7	4	.09	+	43.16	8.76E-06	1.86E-04
ectopic germ cell programmed cell death (GO:0035234)	7	4	.09	+	43.16	8.76E-06	1.86E-04
regulation of calcidiol 1-monooxygenase activity (GO:0060558)	7	4	.09	+	43.16	8.76E-06	1.86E-04
cellular component organization (GO:0016043)	5646	109	74.76	+	1.46	9.04E-06	1.91E-04
ovarian follicle development (GO:0001541)	50	7	.66	+	10.57	9.13E-06	1.93E-04
endocrine process (GO:0050886)	50	7	.66	+	10.57	9.13E-06	1.93E-04
lymphocyte chemotaxis (GO:0048247)	50	7	.66	+	10.57	9.13E-06	1.92E-04
signal transduction in absence of ligand (GO:0038034)	32	6	.42	+	14.16	9.17E-06	1.93E-04
regulation of vascular endothelial growth factor production (GO:0010574)	32	6	.42	+	14.16	9.17E-06	1.93E-04
extrinsic apoptotic signaling pathway in absence of ligand (GO:0097192)	32	6	.42	+	14.16	9.17E-06	1.93E-04
calcium-mediated signaling (GO:0019722)	150	11	1.99	+	5.54	9.18E-06	1.93E-04
cellular response to organonitrogen compound (GO:0071417)	606	23	8.02	+	2.87	9.74E-06	2.04E-04
regulation of cell killing (GO:0031341)	96	9	1.27	+	7.08	9.82E-06	2.05E-04
tumor necrosis factor-mediated signaling pathway (GO:0033209)	123	10	1.63	+	6.14	1.02E-05	2.12E-04
cellular response to exogenous dsRNA (GO:0071360)	18	5	.24	+	20.98	1.02E-05	2.13E-04
positive regulation of leukocyte adhesion to vascular endothelial cell (GO:1904996)	18	5	.24	+	20.98	1.02E-05	2.13E-04
regulation of anatomical structure size (GO:0090066)	522	21	6.91	+	3.04	1.04E-05	2.17E-04
positive regulation of interleukin-2 production (GO:0032743)	33	6	.44	+	13.73	1.07E-05	2.23E-04
positive regulation of vasoconstriction (GO:0045907)	33	6	.44	+	13.73	1.07E-05	2.22E-04
regulation of protein catabolic process (GO:0042176)	400	18	5.30	+	3.40	1.09E-05	2.26E-04
regulation of small molecule metabolic process (GO:0062012)	441	19	5.84	+	3.25	1.11E-05	2.31E-04
negative regulation of endopeptidase activity (GO:0010951)	251	14	3.32	+	4.21	1.12E-05	2.32E-04
biological adhesion (GO:0022610)	927	30	12.27	+	2.44	1.16E-05	2.39E-04
positive regulation of protein localization to membrane (GO:1905477)	125	10	1.66	+	6.04	1.16E-05	2.39E-04
negative regulation of biosynthetic process (GO:0009890)	1597	43	21.15	+	2.03	1.18E-05	2.42E-04
cellular response to oxygen levels (GO:0071453)	218	13	2.89	+	4.50	1.18E-05	2.43E-04
positive regulation of blood circulation (GO:1903524)	74	8	.98	+	8.16	1.19E-05	2.44E-04
cellular response to extracellular stimulus (GO:0031668)	289	15	3.83	+	3.92	1.23E-05	2.52E-04
positive regulation of tissue remodeling (GO:0034105)	34	6	.45	+	13.33	1.25E-05	2.55E-04
positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)	34	6	.45	+	13.33	1.25E-05	2.55E-04
negative regulation of oxidoreductase activity (GO:0051354)	34	6	.45	+	13.33	1.25E-05	2.55E-04
regulation of T cell mediated immunity (GO:0002709)	75	8	.99	+	8.06	1.30E-05	2.65E-04
regulation of natural killer cell chemotaxis (GO:2000501)	8	4	.11	+	37.76	1.30E-05	2.65E-04
regulation of fever generation (GO:0031620)	8	4	.11	+	37.76	1.30E-05	2.65E-04
platelet degranulation (GO:0002576)	128	10	1.69	+	5.90	1.41E-05	2.86E-04
response to nutrient (GO:0007584)	222	13	2.94	+	4.42	1.42E-05	2.88E-04
positive regulation of endothelial cell migration (GO:0010595)	101	9	1.34	+	6.73	1.43E-05	2.91E-04
cellular response to interleukin-6 (GO:0071354)	35	6	.46	+	12.95	1.44E-05	2.93E-04
organonitrogen compound catabolic process (GO:1901565)	1080	33	14.30	+	2.31	1.48E-05	3.00E-04
regulation of epithelial cell migration (GO:0010632)	223	13	2.95	+	4.40	1.48E-05	3.00E-04
negative regulation of cellular catabolic process (GO:0031330)	258	14	3.42	+	4.10	1.50E-05	3.03E-04
negative regulation of RNA metabolic process (GO:0051253)	1384	39	18.33	+	2.13	1.53E-05	3.08E-04
regulation of immunoglobulin mediated immune response (GO:0002889)	55	7	.73	+	9.61	1.61E-05	3.23E-04
regulation of B cell mediated immunity (GO:0002712)	55	7	.73	+	9.61	1.61E-05	3.23E-04
cellular nitrogen compound biosynthetic process (GO:0044271)	1658	44	21.95	+	2.00	1.65E-05	3.32E-04
positive regulation of interleukin-10 production (GO:0032733)	36	6	.48	+	12.59	1.67E-05	3.34E-04
regulation of cell cycle process (GO:0010564)	766	26	10.14	+	2.56	1.69E-05	3.38E-04
regulation of defense response to virus (GO:0050688)	78	8	1.03	+	7.75	1.69E-05	3.38E-04
negative regulation of peptidase activity (GO:0010466)	261	14	3.46	+	4.05	1.70E-05	3.39E-04
positive regulation of intracellular protein transport (GO:0090316)	161	11	2.13	+	5.16	1.71E-05	3.42E-04
regulation of myoblast differentiation (GO:0045661)	56	7	.74	+	9.44	1.79E-05	3.56E-04
regulation of blood volume by renin-angiotensin (GO:0002016)	9	4	.12	+	33.57	1.86E-05	3.70E-04
type I interferon production (GO:0032606)	9	4	.12	+	33.57	1.86E-05	3.70E-04
regulation of vitamin D biosynthetic process (GO:0060556)	9	4	.12	+	33.57	1.86E-05	3.69E-04
negative regulation of cellular component organization (GO:0051129)	725	25	9.60	+	2.60	1.91E-05	3.79E-04
T cell mediated immunity (GO:0002456)	37	6	.49	+	12.25	1.92E-05	3.80E-04
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)	37	6	.49	+	12.25	1.92E-05	3.79E-04
negative regulation of signal transduction in absence of ligand (GO:1901099)	37	6	.49	+	12.25	1.92E-05	3.79E-04
positive regulation of extracellular matrix organization (GO:1903055)	21	5	.28	+	17.98	1.93E-05	3.81E-04
regulation of interleukin-2 biosynthetic process (GO:0045076)	21	5	.28	+	17.98	1.93E-05	3.80E-04
positive regulation of lymphocyte chemotaxis (GO:0140131)	21	5	.28	+	17.98	1.93E-05	3.80E-04
positive regulation of calcium ion transport into cytosol (GO:0010524)	57	7	.75	+	9.28	1.98E-05	3.90E-04
cell-cell adhesion (GO:0098609)	503	20	6.66	+	3.00	1.99E-05	3.92E-04
regulation of epithelial cell apoptotic process (GO:1904035)	80	8	1.06	+	7.55	2.00E-05	3.93E-04
regulation of protein-containing complex assembly (GO:0043254)	461	19	6.10	+	3.11	2.01E-05	3.94E-04
ER-nucleus signaling pathway (GO:0006984)	38	6	.50	+	11.93	2.19E-05	4.29E-04
regulation of extracellular matrix organization (GO:1903053)	38	6	.50	+	11.93	2.19E-05	4.29E-04
receptor metabolic process (GO:0043112)	107	9	1.42	+	6.35	2.20E-05	4.29E-04
regulation of interleukin-2 production (GO:0032663)	58	7	.77	+	9.12	2.20E-05	4.29E-04
positive regulation of neuron apoptotic process (GO:0043525)	58	7	.77	+	9.12	2.20E-05	4.28E-04
apoptotic mitochondrial changes (GO:0008637)	58	7	.77	+	9.12	2.20E-05	4.27E-04
peptidyl-serine modification (GO:0018209)	198	12	2.62	+	4.58	2.20E-05	4.28E-04
response to hyperoxia (GO:0055093)	22	5	.29	+	17.16	2.34E-05	4.55E-04
cellular transition metal ion homeostasis (GO:0046916)	108	9	1.43	+	6.29	2.35E-05	4.56E-04
cell adhesion (GO:0007155)	921	29	12.19	+	2.38	2.38E-05	4.60E-04
response to ketone (GO:1901654)	200	12	2.65	+	4.53	2.42E-05	4.67E-04
response to interleukin-6 (GO:0070741)	39	6	.52	+	11.62	2.50E-05	4.83E-04
modification by symbiont of host morphology or physiology (GO:0044003)	39	6	.52	+	11.62	2.50E-05	4.83E-04
glial cell activation (GO:0061900)	39	6	.52	+	11.62	2.50E-05	4.82E-04
positive regulation of immunoglobulin mediated immune response (GO:0002891)	39	6	.52	+	11.62	2.50E-05	4.82E-04
positive regulation of B cell mediated immunity (GO:0002714)	39	6	.52	+	11.62	2.50E-05	4.81E-04
regulation of NIK/NF-kappaB signaling (GO:1901222)	109	9	1.44	+	6.24	2.52E-05	4.83E-04
kidney development (GO:0001822)	271	14	3.59	+	3.90	2.52E-05	4.83E-04
regulation of hormone secretion (GO:0046883)	271	14	3.59	+	3.90	2.52E-05	4.82E-04
virion attachment to host cell (GO:0019062)	10	4	.13	+	30.21	2.58E-05	4.92E-04
cellular response to oxidised low-density lipoprotein particle stimulus (GO:0140052)	10	4	.13	+	30.21	2.58E-05	4.92E-04
drinking behavior (GO:0042756)	10	4	.13	+	30.21	2.58E-05	4.91E-04
programmed cell death involved in cell development (GO:0010623)	10	4	.13	+	30.21	2.58E-05	4.91E-04
cellular response to DNA damage stimulus (GO:0006974)	787	26	10.42	+	2.50	2.63E-05	5.01E-04
small molecule catabolic process (GO:0044282)	429	18	5.68	+	3.17	2.66E-05	5.05E-04
regulation of osteoblast proliferation (GO:0033688)	23	5	.30	+	16.42	2.82E-05	5.36E-04
