##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
OAS antiviral response	Reactome	R-HSA-8983711	2	9	0.000239311277675	0.000581132826103	OAS1|DDX58	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8983711
MAPK3 (ERK1) activation	Reactome	R-HSA-110056	2	9	0.000239311277675	0.000581132826103	IL6|MAPK3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-110056
Neuronal System	Reactome	R-HSA-112316	6	402	0.0002396642677	0.000581132826103	RPS6KA3|PRKCA|TUBB4|HSPA8|MAPK3|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112316
AUF1 (hnRNP D0) binds and destabilizes mRNA	Reactome	R-HSA-450408	3	54	0.000245853035942	0.000594823239276	HSPA8|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450408
Degradation of the extracellular matrix	Reactome	R-HSA-1474228	4	140	0.000256715448418	0.000619735972392	ADAM10|CD44|CTSL1|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474228
Signaling by ERBB4	Reactome	R-HSA-1236394	3	55	0.000258865595409	0.000622185729316	EGFR|EGF|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236394
Stabilization of p53	Reactome	R-HSA-69541	3	55	0.000258865595409	0.000622185729316	TP53|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69541
Beta-catenin independent WNT signaling	Reactome	R-HSA-3858494	4	144	0.000284927761426	0.000675931097875	PRKCA|RHOA|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3858494
Complement cascade	Reactome	R-HSA-166658	3	57	0.000286208024392	0.000675931097875	CRP|CD46|MBL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166658
Signaling by NOTCH1 in Cancer	Reactome	R-HSA-2644603	3	57	0.000286208024392	0.000675931097875	ADAM10|MYC|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2644603
Constitutive Signaling by NOTCH1 PEST Domain Mutants	Reactome	R-HSA-2644606	3	57	0.000286208024392	0.000675931097875	ADAM10|MYC|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2644606
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	Reactome	R-HSA-2894858	3	57	0.000286208024392	0.000675931097875	ADAM10|MYC|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2894858
Signaling by NOTCH1 PEST Domain Mutants in Cancer	Reactome	R-HSA-2644602	3	57	0.000286208024392	0.000675931097875	ADAM10|MYC|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2644602
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	Reactome	R-HSA-2894862	3	57	0.000286208024392	0.000675931097875	ADAM10|MYC|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2894862
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	Reactome	R-HSA-8877330	2	10	0.000286777336234	0.000675931097875	IFNG|IL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8877330
TRIF-mediated programmed cell death	Reactome	R-HSA-2562578	2	10	0.000286777336234	0.000675931097875	CD14|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2562578
Signaling by Hedgehog	Reactome	R-HSA-5358351	4	148	0.00031529886847	0.000740089657768	TUBB4|ADAM17|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5358351
Regulation of PTEN gene transcription	Reactome	R-HSA-8943724	3	59	0.000315348421695	0.000740089657768	MAPK3|MAPK1|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8943724
Long-term depression	KEGG PATHWAY	hsa04730	3	60	0.000330608275851	0.000774245022078	PRKCA|MAPK3|MAPK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04730/hsa:5578%09red/hsa:5595%09red/hsa:5594%09red
Interleukin-6 signaling	Reactome	R-HSA-1059683	2	11	0.000338451158309	0.000782579049592	IL6|STAT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1059683
DSCAM interactions	Reactome	R-HSA-376172	2	11	0.000338451158309	0.000782579049592	MAPK14|MAPK8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-376172
Regulated proteolysis of p75NTR	Reactome	R-HSA-193692	2	11	0.000338451158309	0.000782579049592	NFKB1|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193692
ERBB2 Activates PTK6 Signaling	Reactome	R-HSA-8847993	2	11	0.000338451158309	0.000782579049592	EGFR|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8847993
Endosomal/Vacuolar pathway	Reactome	R-HSA-1236977	2	11	0.000338451158309	0.000782579049592	HLA-C|CTSL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236977
CD28 dependent Vav1 pathway	Reactome	R-HSA-389359	2	11	0.000338451158309	0.000782579049592	CD80|CD86	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389359
Longevity regulating pathway - multiple species	KEGG PATHWAY	hsa04213	3	62	0.000362537745915	0.000836508146365	AKT1|HSPA8|SOD1	http://www.genome.jp/kegg-bin/show_pathway?hsa04213/hsa:207%09red/hsa:6647%09red/hsa:3312%09red
Hippo signaling pathway	KEGG PATHWAY	hsa04390	4	154	0.000365109259234	0.000840671739748	TGFB1|MYC|ITGB2|SMAD3	http://www.genome.jp/kegg-bin/show_pathway?hsa04390/hsa:3689%09red/hsa:4609%09red/hsa:4088%09red/hsa:7040%09red
TP53 Regulates Transcription of Death Receptors and Ligands	Reactome	R-HSA-6803211	2	12	0.000394315094081	0.000898480962813	FAS|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6803211
GRB2 events in EGFR signaling	Reactome	R-HSA-179812	2	12	0.000394315094081	0.000898480962813	EGFR|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-179812
Prolonged ERK activation events	Reactome	R-HSA-169893	2	12	0.000394315094081	0.000898480962813	MAPK3|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-169893
Butyrophilin (BTN) family interactions	Reactome	R-HSA-8851680	2	12	0.000394315094081	0.000898480962813	CD209|BTF3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8851680
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	Reactome	R-HSA-933543	2	12	0.000394315094081	0.000898480962813	DDX58|MAVS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-933543
Hedgehog ligand biogenesis	Reactome	R-HSA-5358346	3	64	0.000396386991199	0.000899461992452	ADAM17|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5358346
Collagen degradation	Reactome	R-HSA-1442490	3	64	0.000396386991199	0.000899461992452	ADAM10|CTSL1|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1442490
Signaling by Rho GTPases	Reactome	R-HSA-194315	6	449	0.000427239313885	0.000967467537228	PRKCA|TUBB4|MAPK14|MAPK3|MAPK1|RHOA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194315
Activation of NF-kappaB in B cells	Reactome	R-HSA-1169091	3	66	0.000432203518109	0.000974681184872	NFKB1|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1169091
Regulation of HSF1-mediated heat shock response	Reactome	R-HSA-3371453	3	66	0.000432203518109	0.000974681184872	MAPK3|HSPA8|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371453
Assembly of the pre-replicative complex	Reactome	R-HSA-68867	3	67	0.00045086417014	0.00100599857978	PSMD1|E2F1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68867
PI3K events in ERBB2 signaling	Reactome	R-HSA-1963642	2	13	0.00045435154835	0.00100599857978	EGFR|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1963642
Creation of C4 and C2 activators	Reactome	R-HSA-166786	2	13	0.00045435154835	0.00100599857978	CRP|MBL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166786
Inhibition of replication initiation of damaged DNA by RB1/E2F1	Reactome	R-HSA-113501	2	13	0.00045435154835	0.00100599857978	RB1|E2F1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-113501
SHC1 events in EGFR signaling	Reactome	R-HSA-180336	2	13	0.00045435154835	0.00100599857978	EGFR|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180336
IRF3-mediated induction of type I IFN	Reactome	R-HSA-3270619	2	13	0.00045435154835	0.00100599857978	IRF3|TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3270619
Regulation of KIT signaling	Reactome	R-HSA-1433559	2	13	0.00045435154835	0.00100599857978	PRKCA|KIT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1433559
Advanced glycosylation endproduct receptor signaling	Reactome	R-HSA-879415	2	13	0.00045435154835	0.00100599857978	MAPK3|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-879415
ERKs are inactivated	Reactome	R-HSA-202670	2	13	0.00045435154835	0.00100599857978	MAPK3|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202670
Metabolism	Reactome	R-HSA-1430728	13	2075	0.00047738600064	0.00105486906593	HPSE|PTGS2|CDA|PRKCA|CD44|ARF1|PSMD1|IMPDH1|GLB1|PSMD2|AKT1|ACAA1|CYCS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728
G2/M Checkpoints	Reactome	R-HSA-69481	4	167	0.000491953877695	0.0010848721327	TP53|CDK2|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69481
Orc1 removal from chromatin	Reactome	R-HSA-68949	3	70	0.000509925017435	0.00111999562948	CDK2|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68949
Signaling by Insulin receptor	Reactome	R-HSA-74752	3	70	0.000509925017435	0.00111999562948	MAPK3|TLR9|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74752
Spry regulation of FGF signaling	Reactome	R-HSA-1295596	2	14	0.00051854298039	0.00112539229011	MAPK3|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1295596
Constitutive Signaling by EGFRvIII	Reactome	R-HSA-5637810	2	14	0.00051854298039	0.00112539229011	EGFR|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5637810
Regulation of TP53 Activity through Association with Co-factors	Reactome	R-HSA-6804759	2	14	0.00051854298039	0.00112539229011	AKT1|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804759
Role of LAT2/NTAL/LAB on calcium mobilization	Reactome	R-HSA-2730905	2	14	0.00051854298039	0.00112539229011	LAT2|MS4A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2730905
Signaling by EGFRvIII in Cancer	Reactome	R-HSA-5637812	2	14	0.00051854298039	0.00112539229011	EGFR|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5637812
GRB2 events in ERBB2 signaling	Reactome	R-HSA-1963640	2	14	0.00051854298039	0.00112539229011	EGFR|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1963640
CDK-mediated phosphorylation and removal of Cdc6	Reactome	R-HSA-69017	3	71	0.000530657277525	0.00114714078139	CDK2|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69017
Signaling by NOTCH1	Reactome	R-HSA-1980143	3	71	0.000530657277525	0.00114714078139	ADAM10|MYC|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1980143
JAK/STAT signaling pathway	PANTHER	P00038	2	15	0.000586871903799	0.00125382379447	MAPK14|STAT1	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00038
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors	Reactome	R-HSA-8866910	2	15	0.000586871903799	0.00125382379447	EGFR|KIT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866910
Regulation of innate immune responses to cytosolic DNA	Reactome	R-HSA-3134975	2	15	0.000586871903799	0.00125382379447	IRF3|TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3134975
Constitutive Signaling by NOTCH1 HD Domain Mutants	Reactome	R-HSA-2691232	2	15	0.000586871903799	0.00125382379447	ADAM10|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2691232
Activation of BAD and translocation to mitochondria 	Reactome	R-HSA-111447	2	15	0.000586871903799	0.00125382379447	AKT1|BCL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111447
Signaling by NOTCH1 HD Domain Mutants in Cancer	Reactome	R-HSA-2691230	2	15	0.000586871903799	0.00125382379447	ADAM10|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2691230
Metabolism of RNA	Reactome	R-HSA-8953854	7	667	0.000592336824753	0.00126303727613	PABPN1|PRKCA|HSPA8|PSMD1|PSMD2|MAPK14|AKT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953854
GAB1 signalosome	Reactome	R-HSA-180292	2	16	0.00065932088635	0.00138697829451	EGFR|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180292
TRAF6-mediated induction of TAK1 complex within TLR4 complex	Reactome	R-HSA-937072	2	16	0.00065932088635	0.00138697829451	CD14|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-937072
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	Reactome	R-HSA-2173791	2	16	0.00065932088635	0.00138697829451	TGFB1|RHOA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2173791
p75NTR signals via NF-kB	Reactome	R-HSA-193639	2	16	0.00065932088635	0.00138697829451	NFKB1|MYD88	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193639
Formation of Senescence-Associated Heterochromatin Foci (SAHF)	Reactome	R-HSA-2559584	2	16	0.00065932088635	0.00138697829451	TP53|RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559584
STING mediated induction of host immune responses	Reactome	R-HSA-1834941	2	16	0.00065932088635	0.00138697829451	IRF3|TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1834941
IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation	Reactome	R-HSA-975163	2	16	0.00065932088635	0.00138697829451	CD14|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975163
Class A/1 (Rhodopsin-like receptors)	Reactome	R-HSA-373076	5	322	0.000673396463119	0.00141117117319	CXCL10|CCL5|CCR6|IL8|CCR5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-373076
Complement and coagulation cascades	KEGG PATHWAY	hsa04610	3	79	0.000716132848632	0.00149501257543	CD46|ITGB2|MBL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04610/hsa:3689%09red/hsa:4153%09red/hsa:4179%09red
Regulation of APC/C activators between G1/S and early anaphase	Reactome	R-HSA-176408	3	79	0.000716132848632	0.00149501257543	CDK2|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176408
KSRP (KHSRP) binds and destabilizes mRNA	Reactome	R-HSA-450604	2	17	0.000735872549848	0.00152749302014	MAPK14|AKT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450604
RIP-mediated NFkB activation via ZBP1	Reactome	R-HSA-1810476	2	17	0.000735872549848	0.00152749302014	NFKB1|MYD88	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1810476
Regulation of necroptotic cell death	Reactome	R-HSA-5675482	2	17	0.000735872549848	0.00152749302014	FAS|BIRC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5675482
DNA Damage/Telomere Stress Induced Senescence	Reactome	R-HSA-2559586	3	80	0.000741851004027	0.00153699187224	CDK2|TP53|RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559586
DNA Repair	Reactome	R-HSA-73894	5	331	0.000760470229375	0.00157259504037	ISG15|MAPK8|TP53|CDK2|USP7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73894
TP53 Regulates Metabolic Genes	Reactome	R-HSA-5628897	3	82	0.000795034895914	0.00164097598102	AKT1|TP53|CYCS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5628897
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	Reactome	R-HSA-1236382	2	18	0.000816509569978	0.00167583237584	EGFR|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236382
Signaling by Ligand-Responsive EGFR Variants in Cancer	Reactome	R-HSA-5637815	2	18	0.000816509569978	0.00167583237584	EGFR|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5637815
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	Reactome	R-HSA-6804114	2	18	0.000816509569978	0.00167583237584	TP53|BAX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804114
Peroxisome	KEGG PATHWAY	hsa04146	3	83	0.000822511017003	0.00168499453203	NOS2|ACAA1|SOD1	http://www.genome.jp/kegg-bin/show_pathway?hsa04146/hsa:4843%09red/hsa:6647%09red/hsa:30%09red
Calcium signaling pathway	KEGG PATHWAY	hsa04020	4	193	0.000834853085713	0.00170708765288	PRKCA|NOS2|EGFR|SLC25A4	http://www.genome.jp/kegg-bin/show_pathway?hsa04020/hsa:4843%09red/hsa:1956%09red/hsa:5578%09red/hsa:291%09red
APC/C-mediated degradation of cell cycle proteins	Reactome	R-HSA-174143	3	85	0.000879257273136	0.00179120069026	CDK2|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174143
Regulation of mitotic cell cycle	Reactome	R-HSA-453276	3	85	0.000879257273136	0.00179120069026	CDK2|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-453276
Glycosaminoglycan degradation	KEGG PATHWAY	hsa00531	2	19	0.00090121467616	0.00181902630768	HPSE|GLB1	http://www.genome.jp/kegg-bin/show_pathway?hsa00531/hsa:2720%09red/hsa:10855%09red
Transcription of E2F targets under negative control by DREAM complex	Reactome	R-HSA-1362277	2	19	0.00090121467616	0.00181902630768	MYC|E2F1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1362277
Regulated Necrosis	Reactome	R-HSA-5218859	2	19	0.00090121467616	0.00181902630768	FAS|BIRC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5218859
Regulation of TLR by endogenous ligand	Reactome	R-HSA-5686938	2	19	0.00090121467616	0.00181902630768	CD14|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5686938
RIPK1-mediated regulated necrosis	Reactome	R-HSA-5213460	2	19	0.00090121467616	0.00181902630768	FAS|BIRC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5213460
Cellular response to heat stress	Reactome	R-HSA-3371556	3	86	0.000908537555245	0.00183043595689	MAPK3|HSPA8|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371556
MAPK6/MAPK4 signaling	Reactome	R-HSA-5687128	3	88	0.000968937501262	0.00194854220437	MYC|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5687128
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	Reactome	R-HSA-6803204	2	20	0.000989970651403	0.00198356093956	TP53|BAX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6803204
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	Reactome	R-HSA-164938	2	20	0.000989970651403	0.00198356093956	CD4|ARF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-164938
Switching of origins to a post-replicative state	Reactome	R-HSA-69052	3	89	0.00100006707779	0.00200013415558	CDK2|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69052
Hypertrophic cardiomyopathy (HCM)	KEGG PATHWAY	hsa05410	3	90	0.00103182293389	0.00205988695	IL6|TGFB1|TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05410/hsa:7124%09red/hsa:3569%09red/hsa:7040%09red
p53 pathway by glucose deprivation	PANTHER	P04397	2	21	0.00108276033216	0.00215373017068	AKT1|TP53	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04397
Interleukin-37 signaling	Reactome	R-HSA-9008059	2	21	0.00108276033216	0.00215373017068	TBK1|SMAD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9008059
Unfolded Protein Response (UPR)	Reactome	R-HSA-381119	3	92	0.0010972328856	0.00217462430854	CCL2|HSP90B1|IL8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381119
Regulation of TP53 Activity through Phosphorylation	Reactome	R-HSA-6804756	3	92	0.0010972328856	0.00217462430854	MAPK14|CDK2|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804756
Initial triggering of complement	Reactome	R-HSA-166663	2	22	0.00117956660817	0.00232518885352	CRP|MBL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166663
E2F mediated regulation of DNA replication	Reactome	R-HSA-113510	2	22	0.00117956660817	0.00232518885352	RB1|E2F1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-113510
HS-GAG degradation	Reactome	R-HSA-2024096	2	22	0.00117956660817	0.00232518885352	HPSE|GLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2024096
Antimicrobial peptides	Reactome	R-HSA-6803157	3	95	0.00120016516277	0.00236154581399	CD4|LTF|CCR6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6803157
Signaling by ROBO receptors	Reactome	R-HSA-376176	4	216	0.00125524842584	0.00246550586867	PRKCA|RHOA|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-376176
Circadian entrainment	KEGG PATHWAY	hsa04713	3	97	0.00127205316972	0.00249404342399	PRKCA|MAPK3|MAPK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04713/hsa:5578%09red/hsa:5595%09red/hsa:5594%09red
Negative regulation of FGFR3 signaling	Reactome	R-HSA-5654732	2	23	0.00128037242235	0.00250587174089	MAPK3|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654732
Pancreatic secretion	KEGG PATHWAY	hsa04972	3	98	0.00130899101729	0.00255731578423	PRKCA|RHOA|RAB3D	http://www.genome.jp/kegg-bin/show_pathway?hsa04972/hsa:9545%09red/hsa:387%09red/hsa:5578%09red
Interleukin-6 family signaling	Reactome	R-HSA-6783589	2	24	0.0013851607706	0.00269651190865	IL6|STAT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6783589
Signaling by EGFR in Cancer	Reactome	R-HSA-1643713	2	24	0.0013851607706	0.00269651190865	EGFR|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1643713
UCH proteinases	Reactome	R-HSA-5689603	3	101	0.00142383452145	0.00276688410551	TGFB1|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689603
Interleukin-20 family signaling	Reactome	R-HSA-8854691	2	25	0.00149391470167	0.0028928100937	IL28A|STAT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8854691
G beta:gamma signalling through PI3Kgamma	Reactome	R-HSA-392451	2	25	0.00149391470167	0.0028928100937	AKT1|RHOA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-392451
Interleukin receptor SHC signaling	Reactome	R-HSA-912526	2	26	0.00160661731707	0.00308921505178	IL5|IL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-912526
The role of Nef in HIV-1 replication and disease pathogenesis	Reactome	R-HSA-164952	2	26	0.00160661731707	0.00308921505178	CD4|ARF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-164952
ATF4 activates genes in response to endoplasmic reticulum  stress	Reactome	R-HSA-380994	2	26	0.00160661731707	0.00308921505178	CCL2|IL8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-380994
Negative regulation of FGFR1 signaling	Reactome	R-HSA-5654726	2	26	0.00160661731707	0.00308921505178	MAPK3|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654726
Syndecan interactions	Reactome	R-HSA-3000170	2	27	0.00172325177086	0.0033018950015	PRKCA|TGFB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3000170
Negative regulation of FGFR4 signaling	Reactome	R-HSA-5654733	2	27	0.00172325177086	0.0033018950015	MAPK3|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654733
Amyloid fiber formation	Reactome	R-HSA-977225	3	109	0.00176041491436	0.00336721596184	ADAM10|CST3|LTF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-977225
Negative regulation of FGFR2 signaling	Reactome	R-HSA-5654727	2	28	0.00184380126951	0.00352056827767	MAPK3|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654727
Hedgehog 'off' state	Reactome	R-HSA-5610787	3	112	0.00189833665181	0.0036183947311	TUBB4|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5610787
